actual,predicted,residuals,abs_error,datetime
0.741355558920781,0.7926954701626512,-0.051339911241870206,0.051339911241870206,2021-09-02 13:00:00
0.7208083664338732,0.774222555208073,-0.05341418877419979,0.05341418877419979,2021-09-02 14:00:00
0.7111346882192345,0.7648205935955219,-0.05368590537628737,0.05368590537628737,2021-09-02 15:00:00
0.7171338685073824,0.7678326407870306,-0.05069877227964825,0.05069877227964825,2021-09-02 16:00:00
0.7061103747279098,0.7564555883706883,-0.05034521364277844,0.05034521364277844,2021-09-02 17:00:00
0.6752145962439464,0.7506536011813032,-0.07543900493735678,0.07543900493735678,2021-09-02 18:00:00
0.6707902007814377,0.7451379498248052,-0.0743477490433675,0.0743477490433675,2021-09-02 19:00:00
0.658791840205141,0.7332176826099437,-0.07442584240480266,0.07442584240480266,2021-09-02 20:00:00
0.6517428033665665,0.725754987969091,-0.07401218460252446,0.07401218460252446,2021-09-02 21:00:00
0.6582669119299277,0.7286793063693311,-0.07041239443940339,0.07041239443940339,2021-09-02 22:00:00
0.6816637150537058,0.7453980957001158,-0.06373438064641002,0.06373438064641002,2021-09-02 23:00:00
0.7268075467220211,0.8190722545285603,-0.09226470780653917,0.09226470780653917,2021-09-03 00:00:00
0.6873629363274466,0.7759661128471873,-0.0886031765197407,0.0886031765197407,2021-09-03 01:00:00
0.3525336864951739,0.45084210737973673,-0.09830842088456282,0.09830842088456282,2021-09-03 02:00:00
0.281518389834219,0.37576924182190335,-0.09425085198768435,0.09425085198768435,2021-09-03 03:00:00
0.2524223654367002,0.3426114649654283,-0.09018909952872811,0.09018909952872811,2021-09-03 04:00:00
0.2183020275478575,0.3074239350011091,-0.0891219074532516,0.0891219074532516,2021-09-03 05:00:00
0.1793823454284955,0.2641918033466774,-0.08480945791818192,0.08480945791818192,2021-09-03 06:00:00
0.1259896408639762,0.21449638165582938,-0.08850674079185317,0.08850674079185317,2021-09-03 07:00:00
0.1523860341318283,0.23492514392078673,-0.08253910978895843,0.08253910978895843,2021-09-03 08:00:00
0.1469867718724955,0.2287519676127436,-0.0817651957402481,0.0817651957402481,2021-09-03 09:00:00
0.1709085032714861,0.24957671732110986,-0.07866821404962376,0.07866821404962376,2021-09-03 10:00:00
0.2102031341588571,0.2847371942011283,-0.0745340600422712,0.0745340600422712,2021-09-03 11:00:00
0.3498340553655071,0.41241473022682557,-0.06258067486131846,0.06258067486131846,2021-09-03 12:00:00
0.6854881924874002,0.7277977125651494,-0.04230952007774913,0.04230952007774913,2021-09-03 13:00:00
0.6682405491589745,0.7116861938661585,-0.04344564470718404,0.04344564470718404,2021-09-03 14:00:00
0.6460435820928258,0.6917249456802881,-0.04568136358746233,0.04568136358746233,2021-09-03 15:00:00
0.6288709285180017,0.6740591165951637,-0.04518818807716196,0.04518818807716196,2021-09-03 16:00:00
0.609298602827918,0.6542763527850186,-0.04497774995710058,0.04497774995710058,2021-09-03 17:00:00
0.6084737155382975,0.6805841195334759,-0.07211040399517832,0.07211040399517832,2021-09-03 18:00:00
