actual,predicted,residuals,abs_error,datetime,zone
1.1221535277109893,1.0812951,0.04085839507396538,0.04085839507396538,2023-12-31 09:00:00,Western India
1.1053558229041742,1.0717219,0.03363391147381534,0.03363391147381534,2023-12-31 10:00:00,Western India
1.1030311405425173,1.0712216,0.03180955050040302,0.03180955050040302,2023-12-31 11:00:00,Western India
1.2255643979279442,1.1806463,0.044918097612087315,0.044918097612087315,2023-12-31 12:00:00,Western India
1.2465615289364635,1.2043827,0.042178870931702805,0.042178870931702805,2023-12-31 13:00:00,Western India
1.2296888343760466,1.1852344,0.04445440692395919,0.04445440692395919,2023-12-31 14:00:00,Western India
1.2149158529164814,1.1764657,0.03845010317588082,0.03845010317588082,2023-12-31 15:00:00,Western India
1.2083167545995184,1.166611,0.04170579840750177,0.04170579840750177,2023-12-31 16:00:00,Western India
1.2052421747018427,1.167758,0.037484186725768476,0.037484186725768476,2023-12-31 17:00:00,Western India
1.181695392070861,1.1685905,0.013104846416564175,0.013104846416564175,2023-12-31 18:00:00,Western India
1.2527856784854168,1.3339494,-0.08116376819274485,0.08116376819274485,2023-12-31 19:00:00,Western India
1.2547354120790648,1.3330674,-0.07833200506571059,0.07833200506571059,2023-12-31 20:00:00,Western India
1.2557852686294917,1.3330579,-0.07727261177211964,0.07727261177211964,2023-12-31 21:00:00,Western India
1.2504609961237596,1.3053613,-0.05490027478078141,0.05490027478078141,2023-12-31 22:00:00,Western India
1.250311016616556,1.3055085,-0.05519747776058015,0.05519747776058015,2023-12-31 23:00:00,Western India
1.267258700930575,1.3467295,-0.07947081605245732,0.07947081605245732,2024-01-01 00:00:00,Western India
1.277832256188436,1.362616,-0.08478368676658099,0.08478368676658099,2024-01-01 01:00:00,Western India
1.2795570205212785,1.3575116,-0.07795461907375323,0.07795461907375323,2024-01-01 02:00:00,Western India
1.2763324611163993,1.3585018,-0.08216933083764122,0.08216933083764122,2024-01-01 03:00:00,Western India
1.2806818668253062,1.3605856,-0.07990370351008202,0.07990370351008202,2024-01-01 04:00:00,Western India
1.2806068770717045,1.3619047,-0.08129786326185262,0.08129786326185262,2024-01-01 05:00:00,Western India
1.202467553818574,1.1635871,0.03888046046530258,0.03888046046530258,2024-01-01 06:00:00,Western India
