Hour,Month,Day,DayOfWeek,Quarter,WeekOfYear,Zone_encoded,Renewable_energy_percentage_RE%,Carbon-free_energy_percentage_CFE%,Carbon_Efficiency,Clean_Energy_Gap,Carbon_Intensity_MA_24h,RE_Percentage_MA_24h
0,1,1,0.4993588189569071,-1.350442535864218,1.7583046414259416,4,-0.7862487273442852,-0.8138482598119208,-0.6550798002198783,-0.2830176537194085,0.8853929710568691,-0.8611581460384875
1,1,1,0.4993588189569071,-1.350442535864218,1.7583046414259416,4,-0.8167975579292005,-0.8557915871595552,-0.66954731135376,-0.3515848046208532,0.9024472888194274,-0.8778838460161653
2,1,1,0.4993588189569071,-1.350442535864218,1.7583046414259416,4,-0.5902891555434875,-0.6453517896050446,-0.5649422502715407,-0.4040185082513692,0.8512843355317534,-0.8007824485580898
3,1,1,0.4993588189569071,-1.350442535864218,1.7583046414259416,4,-0.2393501505314122,-0.314867296538339,-0.387323293229329,-0.4604855736996179,0.7589100331427958,-0.6661609609328782
4,1,1,0.4993588189569071,-1.350442535864218,1.7583046414259416,4,-0.1879387039372865,-0.2707544867416891,-0.3600920385092234,-0.492752468241475,0.696398348492761,-0.5741288166654609
5,1,1,0.4993588189569071,-1.350442535864218,1.7583046414259416,4,-0.0694688487421273,-0.1521561128621711,-0.2935100221821033,-0.4725856591528145,0.6387753080953349,-0.4911530270201033
6,1,1,0.4993588189569071,-1.350442535864218,1.7583046414259416,4,-0.0351945510127101,-0.1196138761269375,-0.2735352312893346,-0.4766190209705472,0.5935015487696921,-0.4265230574199477
7,1,1,0.4993588189569071,-1.350442535864218,1.7583046414259416,4,-0.1000176793270426,-0.1883141536790973,-0.3112088794035836,-0.5088859155124028,0.5664440568830834,-0.386923360086038
8,1,1,0.4993588189569071,-1.350442535864218,1.7583046414259416,4,-0.0724492224577287,-0.1572182385765408,-0.2951478351354741,-0.4846857446060111,0.5426848729012645,-0.3527693900774195
9,1,1,0.4993588189569071,-1.350442535864218,1.7583046414259416,4,-0.0724492224577287,-0.1564950777602021,-0.2950003259625116,-0.4806523827882784,0.5235838635587602,-0.3254462140705249
10,1,1,0.4993588189569071,-1.350442535864218,1.7583046414259416,4,-0.0925667450380388,-0.1724046157196496,-0.3059640281539487,-0.4604855736996179,0.5091194463509489,-0.3050935219469115
