Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,India,North Eastern India,IN-NE,374.01,461.41,20.92,20.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,India,North Eastern India,IN-NE,369.54,456.43,21.86,21.86,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 02:00:00,India,North Eastern India,IN-NE,346.64,430.93,26.71,26.71,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 03:00:00,India,North Eastern India,IN-NE,339.23,422.68,28.27,28.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,India,North Eastern India,IN-NE,336.69,419.86,28.81,28.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,India,North Eastern India,IN-NE,335.57,418.61,29.05,29.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,India,North Eastern India,IN-NE,335.44,418.46,29.07,29.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,India,North Eastern India,IN-NE,336.08,419.18,28.94,28.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,India,North Eastern India,IN-NE,337.73,421.01,28.59,28.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,India,North Eastern India,IN-NE,341.51,425.22,27.79,27.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,India,North Eastern India,IN-NE,349.05,433.61,26.2,26.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,India,North Eastern India,IN-NE,373.16,460.46,21.1,21.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 12:00:00,India,North Eastern India,IN-NE,374.01,461.41,20.92,20.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 13:00:00,India,North Eastern India,IN-NE,374.01,461.41,20.92,20.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 14:00:00,India,North Eastern India,IN-NE,374.01,461.41,20.92,20.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 15:00:00,India,North Eastern India,IN-NE,374.01,461.41,20.92,20.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 16:00:00,India,North Eastern India,IN-NE,374.01,461.41,20.92,20.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 17:00:00,India,North Eastern India,IN-NE,374.01,461.41,20.92,20.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 18:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 19:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 20:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 21:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 22:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 23:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 00:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 01:00:00,India,North Eastern India,IN-NE,354.8,442.41,22.88,22.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 02:00:00,India,North Eastern India,IN-NE,331.89,416.75,27.85,27.85,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 03:00:00,India,North Eastern India,IN-NE,324.54,408.52,29.45,29.45,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 04:00:00,India,North Eastern India,IN-NE,322.01,405.68,30.0,30.0,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 05:00:00,India,North Eastern India,IN-NE,320.89,404.43,30.25,30.25,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 06:00:00,India,North Eastern India,IN-NE,320.75,404.28,30.28,30.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 07:00:00,India,North Eastern India,IN-NE,321.36,404.96,30.14,30.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 08:00:00,India,North Eastern India,IN-NE,322.96,406.75,29.8,29.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 09:00:00,India,North Eastern India,IN-NE,326.67,410.91,28.99,28.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 10:00:00,India,North Eastern India,IN-NE,334.08,419.2,27.38,27.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 11:00:00,India,North Eastern India,IN-NE,358.05,446.06,22.17,22.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 12:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 13:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 14:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 15:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 16:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 17:00:00,India,North Eastern India,IN-NE,359.14,447.27,21.93,21.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 18:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 19:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 20:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 21:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 22:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 23:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 00:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 01:00:00,India,North Eastern India,IN-NE,365.19,450.97,23.02,23.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 02:00:00,India,North Eastern India,IN-NE,342.22,425.44,27.86,27.86,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 03:00:00,India,North Eastern India,IN-NE,334.85,417.24,29.41,29.41,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 04:00:00,India,North Eastern India,IN-NE,332.31,414.41,29.95,29.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 05:00:00,India,North Eastern India,IN-NE,331.18,413.16,30.19,30.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 06:00:00,India,North Eastern India,IN-NE,331.04,413.01,30.22,30.22,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 07:00:00,India,North Eastern India,IN-NE,331.64,413.67,30.09,30.09,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 08:00:00,India,North Eastern India,IN-NE,333.23,415.44,29.75,29.75,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 09:00:00,India,North Eastern India,IN-NE,336.92,419.54,28.98,28.98,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 10:00:00,India,North Eastern India,IN-NE,344.24,427.67,27.43,27.43,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 11:00:00,India,North Eastern India,IN-NE,368.03,454.12,22.42,22.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 12:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 13:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 14:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 15:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 16:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 17:00:00,India,North Eastern India,IN-NE,369.37,455.61,22.14,22.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 18:00:00,India,North Eastern India,IN-NE,370.38,456.17,22.34,22.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 19:00:00,India,North Eastern India,IN-NE,370.38,456.17,22.34,22.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 20:00:00,India,North Eastern India,IN-NE,370.38,456.17,22.34,22.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 21:00:00,India,North Eastern India,IN-NE,370.38,456.17,22.34,22.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 22:00:00,India,North Eastern India,IN-NE,370.38,456.17,22.34,22.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 23:00:00,India,North Eastern India,IN-NE,370.38,456.17,22.34,22.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 00:00:00,India,North Eastern India,IN-NE,370.38,456.17,22.34,22.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 01:00:00,India,North Eastern India,IN-NE,366.26,451.59,23.2,23.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 02:00:00,India,North Eastern India,IN-NE,342.82,425.57,28.11,28.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
