Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,India,Eastern India,IN-EA,733.23,792.25,3.44,3.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,India,Eastern India,IN-EA,733.06,792.07,3.46,3.26,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,India,Eastern India,IN-EA,729.81,788.77,3.89,3.71,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,India,Eastern India,IN-EA,728.25,787.19,4.1,3.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,India,Eastern India,IN-EA,728.08,787.02,4.13,4.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,India,Eastern India,IN-EA,728.04,786.99,4.13,4.09,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,India,Eastern India,IN-EA,727.94,786.88,4.15,4.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,India,Eastern India,IN-EA,727.92,786.86,4.15,4.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,India,Eastern India,IN-EA,727.86,786.8,4.16,4.09,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,India,Eastern India,IN-EA,727.88,786.79,4.15,4.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,India,Eastern India,IN-EA,728.0,786.9,4.14,3.98,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,India,Eastern India,IN-EA,729.97,788.9,3.88,3.72,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,India,Eastern India,IN-EA,732.66,791.65,3.52,3.35,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,India,Eastern India,IN-EA,733.13,792.13,3.46,3.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,India,Eastern India,IN-EA,733.43,792.43,3.43,3.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,India,Eastern India,IN-EA,733.51,792.52,3.42,3.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 16:00:00,India,Eastern India,IN-EA,733.53,792.54,3.41,3.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 17:00:00,India,Eastern India,IN-EA,733.71,792.72,3.39,3.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 18:00:00,India,Eastern India,IN-EA,731.23,787.85,3.63,3.57,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 19:00:00,India,Eastern India,IN-EA,731.18,787.82,3.63,3.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 20:00:00,India,Eastern India,IN-EA,731.2,787.84,3.63,3.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
